STATE,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,384
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,THEFT /STEALING,2586
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,BURGLARY,32
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,129
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,STORE BREAKING,16
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,518
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,FORGERY,7
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,288
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,0
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,ARSON,12
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,188
AKWA IBOM,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,47
AKWA IBOM,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,6
AKWA IBOM,OFFENCES AGAINST PROPERTY,THEFT /STEALING,310
AKWA IBOM,OFFENCES AGAINST PROPERTY,BURGLARY,14
AKWA IBOM,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,13
AKWA IBOM,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
AKWA IBOM,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,168
AKWA IBOM,OFFENCES AGAINST PROPERTY,FORGERY,11
AKWA IBOM,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,8
AKWA IBOM,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,7
AKWA IBOM,OFFENCES AGAINST PROPERTY,ARSON,4
AKWA IBOM,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,5
ANAMBRA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,6
ANAMBRA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ANAMBRA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,484
ANAMBRA,OFFENCES AGAINST PROPERTY,BURGLARY,22
ANAMBRA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,76
ANAMBRA,OFFENCES AGAINST PROPERTY,STORE BREAKING,7
ANAMBRA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,0
ANAMBRA,OFFENCES AGAINST PROPERTY,FORGERY,20
ANAMBRA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,19
ANAMBRA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,43
ANAMBRA,OFFENCES AGAINST PROPERTY,ARSON,12
ANAMBRA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,341
ABIA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,88
ABIA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ABIA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,570
ABIA,OFFENCES AGAINST PROPERTY,BURGLARY,23
ABIA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,576
ABIA,OFFENCES AGAINST PROPERTY,STORE BREAKING,23
ABIA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,544
ABIA,OFFENCES AGAINST PROPERTY,FORGERY,4
ABIA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,9
ABIA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,49
ABIA,OFFENCES AGAINST PROPERTY,ARSON,345
ABIA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,89
ADAMAWA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,45
ADAMAWA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ADAMAWA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,825
ADAMAWA,OFFENCES AGAINST PROPERTY,BURGLARY,0
ADAMAWA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,62
ADAMAWA,OFFENCES AGAINST PROPERTY,STORE BREAKING,24
ADAMAWA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,106
ADAMAWA,OFFENCES AGAINST PROPERTY,FORGERY,5
ADAMAWA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,65
ADAMAWA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,28
ADAMAWA,OFFENCES AGAINST PROPERTY,ARSON,0
ADAMAWA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,246
BAUCHI,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,57
BAUCHI,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
BAUCHI,OFFENCES AGAINST PROPERTY,THEFT /STEALING,33
BAUCHI,OFFENCES AGAINST PROPERTY,BURGLARY,0
BAUCHI,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,0
BAUCHI,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
BAUCHI,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,43
BAUCHI,OFFENCES AGAINST PROPERTY,FORGERY,10
BAUCHI,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BAUCHI,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,5
BAUCHI,OFFENCES AGAINST PROPERTY,ARSON,9
BAUCHI,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,25
BENUE,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,59
BENUE,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,5
BENUE,OFFENCES AGAINST PROPERTY,THEFT /STEALING,811
BENUE,OFFENCES AGAINST PROPERTY,BURGLARY,32
BENUE,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,34
BENUE,OFFENCES AGAINST PROPERTY,STORE BREAKING,90
BENUE,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,22
BENUE,OFFENCES AGAINST PROPERTY,FORGERY,11
BENUE,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
BENUE,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,3
BENUE,OFFENCES AGAINST PROPERTY,ARSON,8
BENUE,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,420
BORNO,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,25
BORNO,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,7
BORNO,OFFENCES AGAINST PROPERTY,THEFT /STEALING,357
BORNO,OFFENCES AGAINST PROPERTY,BURGLARY,4
BORNO,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,16
BORNO,OFFENCES AGAINST PROPERTY,STORE BREAKING,44
BORNO,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,234
BORNO,OFFENCES AGAINST PROPERTY,FORGERY,10
BORNO,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BORNO,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,11
BORNO,OFFENCES AGAINST PROPERTY,ARSON,4
BORNO,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,191
BAYELSA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,148
BAYELSA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,2
BAYELSA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,266
BAYELSA,OFFENCES AGAINST PROPERTY,BURGLARY,31
BAYELSA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,11
BAYELSA,OFFENCES AGAINST PROPERTY,STORE BREAKING,13
BAYELSA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,137
BAYELSA,OFFENCES AGAINST PROPERTY,FORGERY,12
BAYELSA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BAYELSA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,41
BAYELSA,OFFENCES AGAINST PROPERTY,ARSON,7
BAYELSA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,168
CROSS RIVER,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,112
CROSS RIVER,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,4
CROSS RIVER,OFFENCES AGAINST PROPERTY,THEFT /STEALING,624
CROSS RIVER,OFFENCES AGAINST PROPERTY,BURGLARY,28
CROSS RIVER,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,25
CROSS RIVER,OFFENCES AGAINST PROPERTY,STORE BREAKING,19
CROSS RIVER,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,131
CROSS RIVER,OFFENCES AGAINST PROPERTY,FORGERY,11
CROSS RIVER,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
CROSS RIVER,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,31
CROSS RIVER,OFFENCES AGAINST PROPERTY,ARSON,16
CROSS RIVER,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,152
DELTA STATE,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,60
DELTA STATE,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,11
DELTA STATE,OFFENCES AGAINST PROPERTY,THEFT /STEALING,1586
DELTA STATE,OFFENCES AGAINST PROPERTY,BURGLARY,156
DELTA STATE,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,146
DELTA STATE,OFFENCES AGAINST PROPERTY,STORE BREAKING,370
DELTA STATE,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,345
DELTA STATE,OFFENCES AGAINST PROPERTY,FORGERY,20
DELTA STATE,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,19
DELTA STATE,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,43
DELTA STATE,OFFENCES AGAINST PROPERTY,ARSON,12
DELTA STATE,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,341
EBONYI,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,370
EBONYI,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,7
EBONYI,OFFENCES AGAINST PROPERTY,THEFT /STEALING,1272
EBONYI,OFFENCES AGAINST PROPERTY,BURGLARY,45
EBONYI,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,66
EBONYI,OFFENCES AGAINST PROPERTY,STORE BREAKING,41
EBONYI,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,562
EBONYI,OFFENCES AGAINST PROPERTY,FORGERY,40
EBONYI,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,23
EBONYI,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,64
EBONYI,OFFENCES AGAINST PROPERTY,ARSON,22
EBONYI,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,275
EDO,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,1
EDO,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,253
EDO,OFFENCES AGAINST PROPERTY,THEFT /STEALING,20
EDO,OFFENCES AGAINST PROPERTY,BURGLARY,36
EDO,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,18
EDO,OFFENCES AGAINST PROPERTY,STORE BREAKING,20
EDO,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,5
EDO,OFFENCES AGAINST PROPERTY,FORGERY,8
EDO,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,49
EDO,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,345
EDO,OFFENCES AGAINST PROPERTY,ARSON,89
EDO,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,4
ENUGU,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,52
ENUGU,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,30
ENUGU,OFFENCES AGAINST PROPERTY,THEFT /STEALING,425
ENUGU,OFFENCES AGAINST PROPERTY,BURGLARY,71
ENUGU,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,71
ENUGU,OFFENCES AGAINST PROPERTY,STORE BREAKING,66
ENUGU,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,114
ENUGU,OFFENCES AGAINST PROPERTY,FORGERY,29
ENUGU,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,41
ENUGU,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,115
ENUGU,OFFENCES AGAINST PROPERTY,ARSON,1
ENUGU,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,96
GOMBE,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,89
GOMBE,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
GOMBE,OFFENCES AGAINST PROPERTY,THEFT /STEALING,458
GOMBE,OFFENCES AGAINST PROPERTY,BURGLARY,0
GOMBE,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,59
GOMBE,OFFENCES AGAINST PROPERTY,STORE BREAKING,8
GOMBE,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,164
GOMBE,OFFENCES AGAINST PROPERTY,FORGERY,3
GOMBE,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,35
GOMBE,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,10
GOMBE,OFFENCES AGAINST PROPERTY,ARSON,47
GOMBE,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,99
EKITI,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,52
EKITI,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
EKITI,OFFENCES AGAINST PROPERTY,THEFT /STEALING,335
EKITI,OFFENCES AGAINST PROPERTY,BURGLARY,0
EKITI,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,5
EKITI,OFFENCES AGAINST PROPERTY,STORE BREAKING,2
EKITI,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,45
EKITI,OFFENCES AGAINST PROPERTY,FORGERY,7
EKITI,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,3
EKITI,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,13
EKITI,OFFENCES AGAINST PROPERTY,ARSON,15
EKITI,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,77
IMO,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,40
IMO,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
IMO,OFFENCES AGAINST PROPERTY,THEFT /STEALING,166
IMO,OFFENCES AGAINST PROPERTY,BURGLARY,27
IMO,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,31
IMO,OFFENCES AGAINST PROPERTY,STORE BREAKING,21
IMO,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,120
IMO,OFFENCES AGAINST PROPERTY,FORGERY,0
IMO,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,0
IMO,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,16
IMO,OFFENCES AGAINST PROPERTY,ARSON,6
IMO,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,270
JIGAWA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,44
JIGAWA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
JIGAWA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,150
JIGAWA,OFFENCES AGAINST PROPERTY,BURGLARY,1
JIGAWA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,41
JIGAWA,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
JIGAWA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,15
JIGAWA,OFFENCES AGAINST PROPERTY,FORGERY,0
JIGAWA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,7
JIGAWA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,7
JIGAWA,OFFENCES AGAINST PROPERTY,ARSON,5
JIGAWA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,127
KADUNA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,67
KADUNA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
KADUNA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,133
KADUNA,OFFENCES AGAINST PROPERTY,BURGLARY,0
KADUNA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,40
KADUNA,OFFENCES AGAINST PROPERTY,STORE BREAKING,43
KADUNA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,309
KADUNA,OFFENCES AGAINST PROPERTY,FORGERY,43
KADUNA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,27
KADUNA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,29
KADUNA,OFFENCES AGAINST PROPERTY,ARSON,0
KADUNA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,3
KANO,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,36
KANO,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,4
KANO,OFFENCES AGAINST PROPERTY,THEFT /STEALING,1385
KANO,OFFENCES AGAINST PROPERTY,BURGLARY,8
KANO,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,135
KANO,OFFENCES AGAINST PROPERTY,STORE BREAKING,137
KANO,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,699
KANO,OFFENCES AGAINST PROPERTY,FORGERY,10
KANO,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,199
KANO,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,213
KANO,OFFENCES AGAINST PROPERTY,ARSON,22
KANO,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,466
KATSINA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,98
KATSINA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,29
KATSINA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,498
KATSINA,OFFENCES AGAINST PROPERTY,BURGLARY,5
KATSINA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,7
KATSINA,OFFENCES AGAINST PROPERTY,STORE BREAKING,11
KATSINA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,101
KATSINA,OFFENCES AGAINST PROPERTY,FORGERY,23
KATSINA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,1
KATSINA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,19
KATSINA,OFFENCES AGAINST PROPERTY,ARSON,6
KATSINA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,104
KEBBI,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,30
KEBBI,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
KEBBI,OFFENCES AGAINST PROPERTY,THEFT /STEALING,27
KEBBI,OFFENCES AGAINST PROPERTY,BURGLARY,0
KEBBI,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,2
KEBBI,OFFENCES AGAINST PROPERTY,STORE BREAKING,1
KEBBI,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,20
KEBBI,OFFENCES AGAINST PROPERTY,FORGERY,0
KEBBI,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
KEBBI,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,9
KEBBI,OFFENCES AGAINST PROPERTY,ARSON,5
KEBBI,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,7
KOGI,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,37
KOGI,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
KOGI,OFFENCES AGAINST PROPERTY,THEFT /STEALING,20
KOGI,OFFENCES AGAINST PROPERTY,BURGLARY,0
KOGI,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,1
KOGI,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
KOGI,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,7
KOGI,OFFENCES AGAINST PROPERTY,FORGERY,2
KOGI,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,0
KOGI,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,22
KOGI,OFFENCES AGAINST PROPERTY,ARSON,0
KOGI,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,22
KWARA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,80
KWARA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,1
KWARA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,253
KWARA,OFFENCES AGAINST PROPERTY,BURGLARY,20
KWARA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,36
KWARA,OFFENCES AGAINST PROPERTY,STORE BREAKING,18
KWARA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,20
KWARA,OFFENCES AGAINST PROPERTY,FORGERY,5
KWARA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,8
KWARA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,6
KWARA,OFFENCES AGAINST PROPERTY,ARSON,12
KWARA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,67
LAGOS STATE,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,370
LAGOS STATE,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,77
LAGOS STATE,OFFENCES AGAINST PROPERTY,THEFT /STEALING,12724
LAGOS STATE,OFFENCES AGAINST PROPERTY,BURGLARY,1213
LAGOS STATE,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,668
LAGOS STATE,OFFENCES AGAINST PROPERTY,STORE BREAKING,417
LAGOS STATE,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,5623
LAGOS STATE,OFFENCES AGAINST PROPERTY,FORGERY,403
LAGOS STATE,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,233
LAGOS STATE,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,764
LAGOS STATE,OFFENCES AGAINST PROPERTY,ARSON,222
LAGOS STATE,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,2275
NIGER,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,58
NIGER,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
NIGER,OFFENCES AGAINST PROPERTY,THEFT /STEALING,595
NIGER,OFFENCES AGAINST PROPERTY,BURGLARY,0
NIGER,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,82
NIGER,OFFENCES AGAINST PROPERTY,STORE BREAKING,22
NIGER,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,137
NIGER,OFFENCES AGAINST PROPERTY,FORGERY,2
NIGER,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,17
NIGER,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,25
NIGER,OFFENCES AGAINST PROPERTY,ARSON,66
NIGER,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,339
NASARAWA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,29
NASARAWA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
NASARAWA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,0
NASARAWA,OFFENCES AGAINST PROPERTY,BURGLARY,0
NASARAWA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,121
NASARAWA,OFFENCES AGAINST PROPERTY,STORE BREAKING,45
NASARAWA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,144
NASARAWA,OFFENCES AGAINST PROPERTY,FORGERY,4
NASARAWA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,54
NASARAWA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,3
NASARAWA,OFFENCES AGAINST PROPERTY,ARSON,20
NASARAWA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,61
OGUN,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,65
OGUN,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,5
OGUN,OFFENCES AGAINST PROPERTY,THEFT /STEALING,127
OGUN,OFFENCES AGAINST PROPERTY,BURGLARY,63
OGUN,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,57
OGUN,OFFENCES AGAINST PROPERTY,STORE BREAKING,34
OGUN,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,70
OGUN,OFFENCES AGAINST PROPERTY,FORGERY,11
OGUN,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,25
OGUN,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,31
OGUN,OFFENCES AGAINST PROPERTY,ARSON,11
OGUN,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,47
ONDO,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,88
ONDO,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,3
ONDO,OFFENCES AGAINST PROPERTY,THEFT /STEALING,1107
ONDO,OFFENCES AGAINST PROPERTY,BURGLARY,89
ONDO,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,83
ONDO,OFFENCES AGAINST PROPERTY,STORE BREAKING,57
ONDO,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,485
ONDO,OFFENCES AGAINST PROPERTY,FORGERY,16
ONDO,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,8
ONDO,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,203
ONDO,OFFENCES AGAINST PROPERTY,ARSON,3
ONDO,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,0
OYO,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,59
OYO,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
OYO,OFFENCES AGAINST PROPERTY,THEFT /STEALING,978
OYO,OFFENCES AGAINST PROPERTY,BURGLARY,149
OYO,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,172
OYO,OFFENCES AGAINST PROPERTY,STORE BREAKING,157
OYO,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,224
OYO,OFFENCES AGAINST PROPERTY,FORGERY,24
